DATE,STIOLD
1987-06-11,1060.37
1987-06-12,1058.65
1987-06-15,1053.0
1987-06-16,1054.34
1987-06-17,1060.23
1987-06-18,1060.87
1987-06-19,1061.24
1987-06-22,1066.16
1987-06-23,1072.33
1987-06-24,1079.35
1987-06-25,1085.72
1987-06-26,1086.96
1987-06-29,1093.71
1987-06-30,1088.21
1987-07-01,1088.83
1987-07-02,1101.35
1987-07-03,1114.7
1987-07-06,1143.65
1987-07-07,1151.6
1987-07-08,1146.1
1987-07-09,1153.8
1987-07-10,1167.62
1987-07-13,1178.96
1987-07-14,1167.18
1987-07-15,1189.93
1987-07-16,1198.05
1987-07-17,1211.77
1987-07-20,1215.4
1987-07-21,1218.56
1987-07-22,1207.62
1987-07-23,1193.68
1987-07-24,1182.4
1987-07-27,1162.67
1987-07-28,1192.86
1987-07-29,1205.85
1987-07-30,1217.24
1987-07-31,1210.95
1987-08-03,1208.76
1987-08-04,1223.64
1987-08-06,1250.69
1987-08-07,1274.23
1987-08-11,1288.13
1987-08-12,1283.9
1987-08-13,1275.61
1987-08-14,1274.56
1987-08-17,1253.14
1987-08-18,1265.18
1987-08-19,1242.28
1987-08-20,1240.96
1987-08-21,1243.74
1987-08-24,1270.37
1987-08-25,1284.93
1987-08-26,1278.82
1987-08-27,1270.03
1987-08-28,1264.46
1987-08-31,1250.21
1987-09-01,1218.46
1987-09-02,1232.67
1987-09-03,1200.62
1987-09-04,1217.44
1987-09-07,1226.21
1987-09-08,1247.89
1987-09-09,1255.19
1987-09-10,1252.97
1987-09-11,1259.96
1987-09-14,1259.83
1987-09-15,1245.74
1987-09-16,1225.42
1987-09-17,1214.08
1987-09-18,1196.35
1987-09-21,1166.43
1987-09-22,1182.73
1987-09-23,1182.42
1987-09-24,1188.23
1987-09-25,1191.37
1987-09-28,1218.49
1987-09-29,1226.63
1987-09-30,1207.3
1987-10-01,1210.96
1987-10-02,1226.94
1987-10-05,1246.17
1987-10-06,1259.64
1987-10-07,1256.06
1987-10-08,1256.63
1987-10-09,1259.24
1987-10-12,1251.24
1987-10-13,1245.0
1987-10-14,1244.4
1987-10-15,1241.48
1987-10-16,1213.82
1987-10-19,1054.44
1987-10-20,787.53
1987-10-22,919.39
1987-10-23,800.13
1987-10-26,759.65
1987-10-27,744.8
1987-10-28,693.46
1987-10-29,678.24
1987-10-30,715.98
1987-11-02,754.67
1987-11-03,756.96
1987-11-04,732.87
1987-11-05,710.72
1987-11-06,717.36
1987-11-09,718.24
1987-11-10,696.81
1987-11-11,674.28
1987-11-12,693.14
1987-11-13,717.16
1987-11-16,729.61
1987-11-17,714.46
1987-11-18,723.44
1987-11-19,715.23
1987-11-20,711.5
1987-11-23,713.21
1987-11-24,707.72
1987-11-25,712.24
1987-11-26,704.63
1987-11-27,701.43
1987-11-30,685.2
1987-12-01,667.25
1987-12-02,662.41
1987-12-03,634.49
1987-12-04,621.05
1987-12-07,595.77
1987-12-08,601.82
1987-12-09,619.69
1987-12-10,637.56
1987-12-11,614.21
1987-12-14,626.61
1987-12-15,632.08
1987-12-16,638.71
1987-12-17,647.45
1987-12-18,652.55
1987-12-21,678.56
1987-12-22,691.01
1987-12-23,699.78
