DATE,LMNUF1M
1975-12-01,0.987543584220533
1976-01-01,1.04433482603347
1976-02-01,0.954215093827879
1976-03-01,0.883587008825433
1976-04-01,0.839793019086285
1976-05-01,0.812015217403064
1976-06-01,0.788679885616938
1976-07-01,0.763381143022346
1976-08-01,0.752947693493509
1976-09-01,0.747461361267921
1976-10-01,0.756729746279393
1976-11-01,0.771244586660172
1976-12-01,0.782216758691427
1977-01-01,0.757640657998388
1977-02-01,0.730470050371479
1977-03-01,0.713955741237126
1977-04-01,0.710529493139265
1977-05-01,0.719277530241384
1977-06-01,0.735002444035767
1977-07-01,0.731657120844699
1977-08-01,0.735910267830397
1977-09-01,0.747598881950198
1977-10-01,0.776495235331611
1977-11-01,0.80424315893286
1977-12-01,0.801399473190973
1978-01-01,0.819605352369081
1978-02-01,0.827852579345628
1978-03-01,0.853404469434924
1978-04-01,0.879228152009233
1978-05-01,0.885776187545904
1978-06-01,0.903978985492021
1978-07-01,0.945986694932234
1978-08-01,0.993288254063355
1978-09-01,1.05193433371681
1978-10-01,1.15064214222132
1978-11-01,1.07550768602939
1978-12-01,1.02082206048279
1979-01-01,1.00255676210924
1979-02-01,0.980101381450897
1979-03-01,0.967004416966829
1979-04-01,0.928270630526101
1979-05-01,0.916084711641382
1979-06-01,0.924933340680798
1979-07-01,0.935038163426524
1979-08-01,0.97042591336198
1979-09-01,0.998695606704375
1979-10-01,1.055407607526
1979-11-01,1.06046806300581
1979-12-01,1.05703496416703
1980-01-01,1.08316889836539
1980-02-01,1.11553695555575
1980-03-01,1.17053447216072
1980-04-01,1.10018079297881
1980-05-01,1.04034540663041
1980-06-01,0.993080457014269
1980-07-01,0.971962730978206
1980-08-01,0.926912290655736
1980-09-01,0.901411439868873
1980-10-01,0.893862080776943
1980-11-01,0.903367252629307
1980-12-01,0.884542698185006
1981-01-01,0.86870732767053
1981-02-01,0.860532935718513
1981-03-01,0.868451613605295
1981-04-01,0.849071864661371
1981-05-01,0.845739367405104
1981-06-01,0.857889335780255
1981-07-01,0.880398435747074
1981-08-01,0.914090179977412
1981-09-01,0.918682454854286
1981-10-01,0.904058369049488
1981-11-01,0.875439836543215
1981-12-01,0.860143792396854
1982-01-01,0.857070644263695
1982-02-01,0.857707264895987
1982-03-01,0.855234066134362
1982-04-01,0.870403204733151
1982-05-01,0.889698822642302
1982-06-01,0.904680148675862
1982-07-01,0.936759860626661
1982-08-01,0.989822044839476
1982-09-01,0.993944339943738
1982-10-01,1.02546291016711
1982-11-01,0.976490708505169
1982-12-01,0.930037373413513
1983-01-01,0.910235505412574
1983-02-01,0.893269273104236
1983-03-01,0.880336642644133
1983-04-01,0.875147422939625
1983-05-01,0.855338533029809
1983-06-01,0.839249834959854
1983-07-01,0.829216089913691
1983-08-01,0.81850586281591
1983-09-01,0.816819058837283
1983-10-01,0.825862398561929
1983-11-01,0.820350044679622
1983-12-01,0.817295961225902
1984-01-01,0.823517566496877
1984-02-01,0.839594576975977
1984-03-01,0.830905817308154
1984-04-01,0.840555509876566
1984-05-01,0.866437684528429
1984-06-01,0.874334647527231
1984-07-01,0.895904713699882
1984-08-01,0.921744546229401
1984-09-01,0.874454129235912
1984-10-01,0.845047325342962
1984-11-01,0.832792464013069
1984-12-01,0.830772386691537
1985-01-01,0.847963239259491
1985-02-01,0.804988042733334
1985-03-01,0.781172684341504
1985-04-01,0.767172420046353
1985-05-01,0.766659725558917
1985-06-01,0.757283351262889
1985-07-01,0.762212012707536
1985-08-01,0.776784319528395
1985-09-01,0.808208617481268
1985-10-01,0.82208021183284
1985-11-01,0.835388017631544
1985-12-01,0.833539267772536
1986-01-01,0.843691757136372
1986-02-01,0.875121954683618
1986-03-01,0.877859589414294
1986-04-01,0.883163488490531
1986-05-01,0.905545837240515
1986-06-01,0.933761046450772
1986-07-01,0.986192700179846
1986-08-01,1.0028439458467
1986-09-01,1.02182404687889
1986-10-01,1.00238034955764
1986-11-01,0.992475598177921
1986-12-01,1.00603081430914
1987-01-01,1.03982390247119
1987-02-01,1.00380996174481
1987-03-01,0.97755665868547
1987-04-01,0.976108421681638
1987-05-01,0.982634329253338
1987-06-01,1.01681446669462
1987-07-01,1.07200367589275
1987-08-01,1.15533611114435
1987-09-01,1.28286575968793
1987-10-01,1.48075101460394
1987-11-01,1.29642844224003
1987-12-01,1.17264145237526
1988-01-01,1.07684518844438
1988-02-01,1.00922421139218
1988-03-01,0.932772486166881
1988-04-01,0.879411584068977
1988-05-01,0.847567502929673
1988-06-01,0.83449757007446
1988-07-01,0.799271861215188
1988-08-01,0.77458453504783
1988-09-01,0.758496195662904
1988-10-01,0.748985002530614
1988-11-01,0.748068004895755
1988-12-01,0.744165437718364
1989-01-01,0.746756425109094
1989-02-01,0.741125373385477
1989-03-01,0.738422950760657
1989-04-01,0.746917419510714
1989-05-01,0.757311545967843
1989-06-01,0.765571980790817
1989-07-01,0.785125081782086
1989-08-01,0.784503862122145
1989-09-01,0.798741259622018
1989-10-01,0.829634616941531
1989-11-01,0.835422228787098
1989-12-01,0.859865363254708
1990-01-01,0.907736987443139
1990-02-01,0.897129263228881
1990-03-01,0.904269334716319
1990-04-01,0.934253305230194
1990-05-01,0.96792928117899
1990-06-01,0.981396217648288
1990-07-01,1.02200233254227
1990-08-01,1.08640024227457
1990-09-01,1.06890852380049
1990-10-01,1.03360966814591
1990-11-01,1.00772687861347
1990-12-01,0.975697393473504
1991-01-01,0.9703225173452
1991-02-01,0.955655416041014
1991-03-01,0.91269756038499
1991-04-01,0.882446250750059
1991-05-01,0.874336567746765
1991-06-01,0.869679955616057
1991-07-01,0.851826220352013
1991-08-01,0.836411139149191
1991-09-01,0.837538420010942
1991-10-01,0.852795478626068
1991-11-01,0.882222433595084
1991-12-01,0.903275658463622
1992-01-01,0.871830830124071
1992-02-01,0.830935946513862
1992-03-01,0.801654405466162
1992-04-01,0.78030552900207
1992-05-01,0.75985786108937
1992-06-01,0.756663536739035
1992-07-01,0.743420501628055
1992-08-01,0.73389493246283
1992-09-01,0.719500442564521
1992-10-01,0.716360259246834
1992-11-01,0.723313393065982
1992-12-01,0.712348617172616
1993-01-01,0.707758256516634
1993-02-01,0.704946998997545
1993-03-01,0.701873955651255
1993-04-01,0.700964615160784
1993-05-01,0.688940834710248
1993-06-01,0.675396092425281
1993-07-01,0.668003150047524
1993-08-01,0.669391190889603
1993-09-01,0.66763313678269
1993-10-01,0.674637227670048
1993-11-01,0.683668363946333
1993-12-01,0.686054807949338
1994-01-01,0.689345126571414
1994-02-01,0.695917672859676
1994-03-01,0.707329522748082
1994-04-01,0.687645293522053
1994-05-01,0.681848616404569
1994-06-01,0.682464068206098
1994-07-01,0.678500370551086
1994-08-01,0.681579683502801
1994-09-01,0.678568518557346
1994-10-01,0.678790720356534
1994-11-01,0.687999381811238
1994-12-01,0.673286251299333
1995-01-01,0.665333794200613
1995-02-01,0.66239625286504
1995-03-01,0.65424689046741
1995-04-01,0.655196731598384
1995-05-01,0.66089629067094
1995-06-01,0.673574057643058
1995-07-01,0.682369243762925
1995-08-01,0.678172879950586
1995-09-01,0.685401544305738
1995-10-01,0.698363615685993
1995-11-01,0.69342535161995
1995-12-01,0.681949286558291
1996-01-01,0.679096951486294
1996-02-01,0.68583533028638
1996-03-01,0.699308040868421
1996-04-01,0.7235410901576
1996-05-01,0.745131358802489
1996-06-01,0.77541653400031
1996-07-01,0.809643553574939
1996-08-01,0.802053609488399
1996-09-01,0.790011701189363
1996-10-01,0.788216384632545
1996-11-01,0.793655046767934
1996-12-01,0.791102523419677
1997-01-01,0.803117260993882
1997-02-01,0.816690749255516
1997-03-01,0.840311797445353
1997-04-01,0.857059574446618
1997-05-01,0.888021717913217
1997-06-01,0.882152507840669
1997-07-01,0.889564410611634
