DATE,LF99TRUU Index
2005-12-22,54.588055
2005-12-23,54.087746
2005-12-27,53.45853
2005-12-28,53.790188
2005-12-29,55.057163
2005-12-30,54.823803
2006-01-03,54.790737
2006-01-04,54.521732
2006-01-05,54.155361
2006-01-06,54.363689
2006-01-09,54.061356
2006-01-10,54.307796
2006-01-11,54.053787
2006-01-12,53.976589
2006-01-13,54.028996
2006-01-17,54.685741
2006-01-18,54.076256
2006-01-19,54.393291
2006-01-20,54.726643
2006-01-23,54.440933
2006-01-24,54.655624
2006-01-25,54.835629
2006-01-26,55.229282
2006-01-27,55.143261
2006-01-30,55.183319
2006-01-31,54.000854
2006-02-01,53.986195
2006-02-02,54.011139
2006-02-03,54.008743
2006-02-06,53.947212
2006-02-07,54.111233
2006-02-08,54.329025
2006-02-09,53.636223
2006-02-10,53.925724
2006-02-13,54.600208
2006-02-14,53.664715
2006-02-15,52.720463
2006-02-16,52.714195
2006-02-17,52.668255
2006-02-21,53.151028
2006-02-22,52.475487
2006-02-23,52.330448
2006-02-24,52.370724
2006-02-27,53.030712
2006-02-28,51.059254
2006-03-01,53.08939
2006-03-02,53.25457
2006-03-03,52.94873
2006-03-06,52.944378
2006-03-07,52.993172
2006-03-08,52.963051
2006-03-09,53.250381
2006-03-10,53.178928
2006-03-13,53.108414
2006-03-14,52.736408
2006-03-15,52.995731
2006-03-16,52.382225
2006-03-17,52.493069
2006-03-20,52.445942
2006-03-21,52.447109
2006-03-22,52.686798
2006-03-23,53.285404
2006-03-24,52.945351
2006-03-27,53.173054
2006-03-28,54.252266
2006-03-29,54.513523
2006-03-30,54.602558
2006-03-31,54.914276
2006-04-03,55.051479
2006-04-04,54.477932
2006-04-05,54.446255
2006-04-06,54.284119
2006-04-07,54.880722
2006-04-10,54.900677
2006-04-11,54.486866
2006-04-12,54.283821
2006-04-13,54.487232
2006-04-17,53.225731
2006-04-18,52.059338
2006-04-19,52.773342
2006-04-20,52.178944
2006-04-21,52.635315
2006-04-24,51.995998
2006-04-25,51.703068
2006-04-26,58.125103
2006-04-27,52.672256
2006-04-28,53.323399
2006-05-01,52.310486
2006-05-02,52.579483
2006-05-03,52.690983
2006-05-04,52.242126
2006-05-05,53.255222
2006-05-08,52.852337
2006-05-09,52.717419
2006-05-10,52.907562
2006-05-11,53.601055
2006-05-12,54.590809
2006-05-15,53.717789
2006-05-16,53.246151
2006-05-17,53.81234
2006-05-18,53.606152
2006-05-19,53.750179
2006-05-22,53.013161
2006-05-23,53.006428
2006-05-24,53.190025
2006-05-25,53.271011
2006-05-26,53.102921
2006-05-30,53.952618
2006-05-31,53.579975
2006-06-01,54.105392
2006-06-02,54.007359
2006-06-05,53.699314
2006-06-06,53.778481
2006-06-07,53.817661
2006-06-08,53.660965
2006-06-09,53.849007
2006-06-12,53.467827
2006-06-13,53.346291
2006-06-14,53.905121
2006-06-15,54.848289
2006-06-16,55.174522
2006-06-19,55.325924
2006-06-20,55.087059
2006-06-21,55.736267
2006-06-22,56.117729
2006-06-23,56.072037
2006-06-26,56.601631
2006-06-27,56.174961
2006-06-28,56.879269
2006-06-29,57.241055
2006-06-30,55.966919
2006-07-03,56.10569
2006-07-05,55.671783
2006-07-06,55.502396
2006-07-07,55.32402
2006-07-10,55.213821
2006-07-11,55.198479
2006-07-12,55.263817
2006-07-13,55.684917
2006-07-14,57.107025
2006-07-17,56.308929
2006-07-18,56.091381
2006-07-19,55.829227
2006-07-20,55.645847
2006-07-21,55.716946
2006-07-24,55.377026
2006-07-25,55.152939
2006-07-26,55.071793
2006-07-27,56.099133
2006-07-28,55.889107
2006-07-31,55.204414
2006-08-01,54.915051
2006-08-02,54.693993
2006-08-03,54.581524
2006-08-04,54.90876
2006-08-07,54.851051
2006-08-08,55.049046
2006-08-09,55.07056
2006-08-10,54.614479
2006-08-11,55.13961
2006-08-14,54.382694
2006-08-15,53.873753
2006-08-16,53.914211
2006-08-17,53.364155
2006-08-18,53.121532
2006-08-21,52.542084
2006-08-22,52.241791
2006-08-23,52.005634
2006-08-24,52.083767
2006-08-25,51.938026
2006-08-28,52.079838
2006-08-29,51.5597
2006-08-30,52.436245
2006-08-31,52.765442
2006-09-01,54.182014
2006-09-05,53.526131
2006-09-06,53.783852
2006-09-07,53.197559
2006-09-08,53.496876
2006-09-11,53.578896
2006-09-12,53.1227
2006-09-13,53.090736
2006-09-14,53.209049
2006-09-15,53.085964
2006-09-18,53.196873
2006-09-19,52.717117
2006-09-20,52.441181
2006-09-21,52.118919
2006-09-22,52.223492
2006-09-25,51.62188
2006-09-26,50.958157
2006-09-27,51.375435
2006-09-28,52.721237
2006-09-29,53.2617
2006-10-02,53.858429
2006-10-03,53.523643
2006-10-04,52.892406
2006-10-05,52.464657
2006-10-06,53.183704
2006-10-10,53.233379
2006-10-11,53.247742
2006-10-12,53.473003
2006-10-13,53.484707
2006-10-16,53.47929
2006-10-17,53.180164
2006-10-18,52.833755
2006-10-19,53.047508
2006-10-20,53.165329
2006-10-23,53.230175
2006-10-24,53.062672
2006-10-25,53.301765
2006-10-26,52.945126
2006-10-27,61.851822
2006-10-30,51.772339
2006-10-31,51.186718
2006-11-01,51.241623
2006-11-02,51.34446
2006-11-03,51.710709
2006-11-06,51.207844
2006-11-07,50.389141
2006-11-08,50.072865
2006-11-09,50.271107
2006-11-10,49.841087
2006-11-13,50.452095
2006-11-14,49.662212
2006-11-15,48.98204
2006-11-16,49.265598
2006-11-17,48.116856
2006-11-20,48.415852
2006-11-21,47.856251
2006-11-22,47.658508
2006-11-24,47.63913
2006-11-27,47.535202
2006-11-28,47.215485
2006-11-29,47.372627
2006-11-30,46.575752
2006-12-01,47.09713
2006-12-04,46.98999
2006-12-05,46.12587
2006-12-06,45.694168
2006-12-07,46.258221
2006-12-08,46.840015
2006-12-11,46.594215
2006-12-12,46.33593
2006-12-13,46.418266
2006-12-14,46.788742
2006-12-15,46.425056
2006-12-18,45.959347
2006-12-19,46.108974
2006-12-20,45.997246
2006-12-21,45.854725
2006-12-22,46.20216
2006-12-26,46.106377
2006-12-27,45.926556
2006-12-28,46.782211
2006-12-29,46.510372
2007-01-02,47.186737
2007-01-03,47.431042
2007-01-04,47.028419
2007-01-05,46.8134
2007-01-08,46.475136
2007-01-09,46.445312
2007-01-10,46.432762
2007-01-11,46.780174
2007-01-12,47.269169
2007-01-16,47.249962
2007-01-17,46.895859
2007-01-18,46.534126
2007-01-19,46.49374
2007-01-22,46.051392
2007-01-23,46.173992
2007-01-24,46.034477
2007-01-25,46.893433
2007-01-26,47.100567
2007-01-29,47.499458
2007-01-30,47.963821
2007-01-31,47.95982
2007-02-01,47.370132
2007-02-02,47.494946
2007-02-05,46.885227
2007-02-06,46.116051
2007-02-07,46.454975
2007-02-08,46.43058
2007-02-09,46.944031
2007-02-12,47.315037
2007-02-13,47.151535
2007-02-14,46.468056
2007-02-15,45.455597
2007-02-16,45.348186
2007-02-20,45.195301
2007-02-21,44.889408
2007-02-22,45.920952
2007-02-23,45.999668
2007-02-26,45.912464
2007-02-27,45.85648
2007-02-28,47.05933
2007-03-01,48.560757
2007-03-02,49.372555
2007-03-05,50.246952
2007-03-06,49.736771
2007-03-07,49.521812
2007-03-08,49.439022
2007-03-09,49.27943
2007-03-12,49.406662
2007-03-13,49.771408
2007-03-14,50.831474
2007-03-15,50.066879
2007-03-16,50.231258
2007-03-19,50.173019
2007-03-20,50.047558
2007-03-21,50.327084
2007-03-22,50.3582
2007-03-23,50.457348
2007-03-26,50.360107
2007-03-27,50.577179
2007-03-28,50.651966
2007-03-29,52.230972
2007-03-30,53.615124
2007-04-02,53.375923
2007-04-03,52.958084
2007-04-04,52.815781
2007-04-05,53.290249
2007-04-09,52.966549
2007-04-10,52.562954
2007-04-11,52.263088
2007-04-12,52.668007
2007-04-13,53.800762
2007-04-16,54.20285
2007-04-17,54.393665
2007-04-18,54.292145
2007-04-19,54.216873
2007-04-20,53.864235
2007-04-23,53.717457
2007-04-24,53.352345
2007-04-25,53.553925
2007-04-26,54.601254
2007-04-27,54.690105
2007-04-30,53.78299
2007-05-01,53.712276
2007-05-02,53.671299
2007-05-03,53.420288
2007-05-04,53.619667
2007-05-07,53.089615
2007-05-08,53.474777
2007-05-09,53.245472
2007-05-10,53.193691
2007-05-11,53.520405
2007-05-14,54.110065
2007-05-15,53.916435
2007-05-16,54.038189
2007-05-17,53.7691
2007-05-18,54.302551
2007-05-21,54.212154
2007-05-22,54.36948
2007-05-23,54.777138
2007-05-24,54.753365
2007-05-25,54.943806
2007-05-29,54.768963
2007-05-30,55.990654
2007-05-31,56.174004
2007-06-01,57.495773
2007-06-04,57.435459
2007-06-05,57.350994
2007-06-06,57.761295
2007-06-07,58.665348
2007-06-08,59.365715
2007-06-11,59.673954
2007-06-12,59.976387
2007-06-13,60.573833
2007-06-14,60.35218
2007-06-15,59.617214
2007-06-18,59.566853
2007-06-19,59.384464
2007-06-20,59.503544
2007-06-21,60.21022
2007-06-22,60.482059
2007-06-25,60.287777
2007-06-26,60.74585
2007-06-27,61.107384
2007-06-28,61.303978
2007-06-29,61.493973
2007-07-02,62.67741
2007-07-03,63.068394
2007-07-05,63.267181
2007-07-06,63.578865
2007-07-09,63.001736
2007-07-10,63.268093
2007-07-11,64.698204
2007-07-12,64.624588
2007-07-13,64.0401
2007-07-16,65.393311
2007-07-17,66.029144
2007-07-18,65.314674
2007-07-19,65.905998
2007-07-20,66.165413
2007-07-23,66.915016
2007-07-24,68.133492
2007-07-25,68.402763
2007-07-26,74.4422
2007-07-27,77.086258
2007-07-30,81.538818
2007-07-31,86.137566
2007-08-01,88.710365
2007-08-02,87.395821
2007-08-03,86.667709
2007-08-06,89.65403
2007-08-07,89.794655
2007-08-08,87.514778
2007-08-09,90.457855
2007-08-10,94.224602
2007-08-13,94.388618
2007-08-14,95.582779
2007-08-15,112.009048
2007-08-16,126.099342
2007-08-17,118.133148
2007-08-20,122.020569
2007-08-21,111.679695
2007-08-22,112.632057
2007-08-23,108.006126
2007-08-24,106.918907
2007-08-27,105.411873
2007-08-28,106.116066
2007-08-29,105.497452
2007-08-30,111.190659
2007-08-31,123.429504
2007-09-04,122.936577
2007-09-05,121.943588
2007-09-06,122.694107
2007-09-07,124.046997
2007-09-10,124.966705
2007-09-11,124.852318
2007-09-12,125.929001
2007-09-13,126.43058
2007-09-14,134.146561
2007-09-17,132.714798
2007-09-18,132.227066
2007-09-19,126.176048
2007-09-20,126.451897
2007-09-21,123.657158
2007-09-24,123.421959
2007-09-25,124.076622
2007-09-26,124.131401
2007-09-27,125.056198
2007-09-28,124.477631
2007-10-01,124.900986
2007-10-02,124.192368
2007-10-03,122.946831
2007-10-04,121.27066
2007-10-05,121.135895
2007-10-09,120.325272
2007-10-10,119.645195
2007-10-11,119.570946
2007-10-12,119.10891
2007-10-15,111.652351
2007-10-16,112.4095
2007-10-17,113.140228
2007-10-18,115.711731
2007-10-19,116.430382
2007-10-22,120.784935
2007-10-23,119.472038
2007-10-24,121.111282
2007-10-25,122.638237
2007-10-26,123.371758
2007-10-29,122.292526
2007-10-30,124.066254
2007-10-31,124.230759
2007-11-01,126.496765
2007-11-02,133.020844
2007-11-05,137.183762
2007-11-06,137.099792
2007-11-07,139.943665
2007-11-08,144.337372
2007-11-09,145.950958
2007-11-13,147.085083
2007-11-14,146.63179
2007-11-15,154.174438
2007-11-16,157.496109
2007-11-19,160.804489
2007-11-20,162.375381
2007-11-21,167.730148
2007-11-23,166.925156
2007-11-26,165.611053
2007-11-27,166.814224
2007-11-28,167.904953
2007-11-29,174.929703
2007-11-30,184.883728
2007-12-03,185.877563
2007-12-04,188.991379
2007-12-05,190.046463
2007-12-06,194.757935
2007-12-07,197.980652
2007-12-10,197.419922
2007-12-11,196.465668
2007-12-12,196.380615
2007-12-13,197.743744
2007-12-14,193.619568
2007-12-17,194.789902
2007-12-18,195.549896
2007-12-19,195.665787
2007-12-20,193.430939
2007-12-21,192.959763
2007-12-24,191.520493
2007-12-26,192.533142
2007-12-27,191.591507
2007-12-28,191.755615
2007-12-31,194.375214
2008-01-02,193.74501
2008-01-03,193.960098
2008-01-04,196.990402
2008-01-07,196.904694
2008-01-08,200.544052
2008-01-09,205.913773
2008-01-10,194.363922
2008-01-11,189.25795
2008-01-14,192.077393
2008-01-15,193.751251
2008-01-16,195.195999
2008-01-17,196.284592
2008-01-18,197.524307
2008-01-22,204.136719
2008-01-23,207.820282
2008-01-24,205.276215
2008-01-25,203.478104
2008-01-28,204.645218
2008-01-29,202.303833
2008-01-30,202.655121
2008-01-31,207.171402
2008-02-01,210.40657
2008-02-04,210.115601
2008-02-05,210.371536
2008-02-06,211.416107
2008-02-07,212.83992
2008-02-08,213.251694
2008-02-11,213.263336
2008-02-12,215.959152
2008-02-13,216.696762
2008-02-14,217.163757
2008-02-15,222.498444
2008-02-19,222.826355
2008-02-20,224.368591
2008-02-21,224.019913
2008-02-22,224.068512
2008-02-25,225.595734
2008-02-26,227.632111
2008-02-27,227.815018
2008-02-28,228.036087
2008-02-29,237.378845
2008-03-03,244.225479
2008-03-04,247.876663
2008-03-05,252.941681
2008-03-06,259.740509
2008-03-07,263.213013
2008-03-10,268.918945
2008-03-11,271.60376
2008-03-12,275.369385
2008-03-13,286.995667
2008-03-14,297.465973
2008-03-17,313.429993
2008-03-18,312.305389
2008-03-19,311.479858
2008-03-20,320.219574
2008-03-24,314.667786
2008-03-25,308.121246
2008-03-26,310.458008
2008-03-27,308.093903
2008-03-28,311.558533
2008-03-31,316.73349
2008-04-01,313.610352
2008-04-02,311.119141
2008-04-03,307.207642
2008-04-04,302.621063
2008-04-07,296.841095
2008-04-08,297.729126
2008-04-09,297.22934
2008-04-10,294.531158
2008-04-11,299.500671
2008-04-14,298.872955
2008-04-15,304.335358
2008-04-16,300.830902
2008-04-17,297.181335
2008-04-18,294.233032
2008-04-21,293.012909
2008-04-22,293.265869
2008-04-23,290.896118
2008-04-24,286.919586
2008-04-25,289.018799
2008-04-28,286.783966
2008-04-29,281.110107
2008-04-30,276.998901
2008-05-01,274.698914
2008-05-02,268.862915
2008-05-05,268.616669
2008-05-06,272.133575
