DATE,AS30
1981-09-16,618.2
1981-09-17,610.3
1981-09-18,606.4
1981-09-21,600.2
1981-09-22,601.0
1981-09-23,600.1
1981-09-24,589.4
1981-09-25,584.2
1981-09-28,563.0
1981-09-29,567.0
1981-09-30,575.1
1981-10-01,571.0
1981-10-02,574.9
1981-10-05,582.3
1981-10-06,577.5
1981-10-07,578.6
1981-10-08,583.2
1981-10-09,592.1
1981-10-12,597.1
1981-10-13,595.0
1981-10-14,588.1
1981-10-15,577.7
1981-10-16,572.8
1981-10-19,564.7
1981-10-20,565.3
1981-10-21,566.7
1981-10-22,570.0
1981-10-26,562.8
1981-10-27,556.2
1981-10-28,555.3
1981-10-29,545.8
1981-10-30,549.7
1981-11-03,565.9
1981-11-04,568.5
1981-11-05,572.1
1981-11-06,577.1
1981-11-09,573.2
1981-11-10,576.2
1981-11-11,571.5
1981-11-12,568.2
1981-11-13,570.4
1981-11-16,571.2
1981-11-17,565.2
1981-11-18,565.3
1981-11-19,561.5
1981-11-20,559.4
1981-11-23,563.5
1981-11-24,563.5
1981-11-25,569.6
1981-11-26,579.9
1981-11-27,585.4
1981-11-30,594.0
1981-12-01,590.8
1981-12-02,593.1
1981-12-03,595.6
1981-12-04,601.5
1981-12-07,609.2
1981-12-08,611.0
1981-12-09,601.9
1981-12-10,602.4
1981-12-11,604.6
1981-12-14,602.8
1981-12-15,594.4
1981-12-16,594.1
1981-12-17,596.3
1981-12-18,594.6
1981-12-21,594.2
1981-12-22,592.5
1981-12-23,590.7
1981-12-24,592.7
1981-12-29,593.3
1981-12-30,595.0
1981-12-31,595.5
1982-01-04,595.5
1982-01-05,594.9
1982-01-06,586.9
1982-01-07,583.1
1982-01-08,577.0
1982-01-11,575.2
1982-01-12,569.2
1982-01-13,568.2
1982-01-14,558.2
1982-01-15,557.8
1982-01-18,549.1
1982-01-19,547.1
1982-01-20,544.3
1982-01-21,541.5
1982-01-22,543.5
1982-01-25,543.3
1982-01-26,539.9
1982-01-27,540.9
1982-01-28,543.2
1982-01-29,548.8
1982-02-02,547.8
1982-02-03,546.2
1982-02-04,547.5
1982-02-05,549.7
1982-02-08,545.7
1982-02-09,537.5
1982-02-10,532.4
1982-02-11,530.5
1982-02-12,526.8
1982-02-15,516.4
1982-02-16,511.5
1982-02-17,505.8
1982-02-18,509.3
1982-02-19,506.5
1982-02-22,506.4
1982-02-23,502.0
1982-02-24,494.2
1982-02-25,490.0
1982-02-26,491.0
1982-03-01,487.4
1982-03-02,483.0
1982-03-03,480.6
1982-03-04,472.9
1982-03-05,464.9
1982-03-08,469.5
1982-03-09,463.4
1982-03-10,455.6
1982-03-11,457.4
1982-03-12,462.1
1982-03-15,458.5
1982-03-16,464.7
1982-03-17,465.6
1982-03-18,466.3
1982-03-19,472.2
1982-03-22,470.1
1982-03-23,470.1
1982-03-24,478.1
1982-03-25,478.1
1982-03-26,475.7
1982-03-29,469.7
1982-03-30,463.3
1982-03-31,462.1
1982-04-01,461.4
1982-04-02,460.2
1982-04-05,461.2
1982-04-06,463.5
1982-04-07,470.6
1982-04-08,468.9
1982-04-13,472.2
1982-04-14,472.2
1982-04-15,478.8
1982-04-16,477.3
1982-04-19,476.1
1982-04-20,477.5
1982-04-21,482.5
1982-04-22,489.9
1982-04-23,498.8
1982-04-26,510.1
1982-04-27,504.8
1982-04-28,505.3
1982-04-29,506.0
1982-04-30,503.5
1982-05-03,500.1
1982-05-04,491.1
1982-05-05,497.0
1982-05-06,498.8
1982-05-07,512.5
1982-05-10,513.6
1982-05-11,516.4
1982-05-12,525.3
1982-05-13,520.4
1982-05-14,519.6
1982-05-17,519.3
1982-05-18,516.6
1982-05-19,514.0
1982-05-20,510.2
1982-05-21,506.6
1982-05-24,506.0
1982-05-25,509.5
1982-05-26,510.3
1982-05-27,509.3
1982-05-28,508.8
1982-05-31,504.9
1982-06-01,506.3
1982-06-02,503.2
1982-06-03,499.8
1982-06-04,497.9
1982-06-07,492.6
1982-06-08,491.1
1982-06-09,488.3
1982-06-10,482.6
1982-06-11,487.2
1982-06-15,480.3
1982-06-16,474.4
1982-06-17,473.9
1982-06-18,469.5
1982-06-21,462.2
1982-06-22,459.8
1982-06-23,458.3
1982-06-24,464.9
1982-06-25,466.5
1982-06-28,465.4
1982-06-29,470.7
1982-06-30,473.1
1982-07-01,470.0
1982-07-02,463.0
1982-07-05,460.7
1982-07-06,457.8
1982-07-07,448.6
1982-07-08,443.1
1982-07-09,446.0
1982-07-12,455.3
1982-07-13,453.5
1982-07-14,452.5
1982-07-15,453.6
1982-07-16,454.0
1982-07-19,458.1
1982-07-20,462.6
1982-07-21,473.4
1982-07-22,473.3
1982-07-23,473.2
1982-07-26,478.2
1982-07-27,475.0
1982-07-28,470.4
1982-07-29,463.1
1982-07-30,465.1
1982-08-02,468.4
1982-08-03,476.6
1982-08-04,473.4
1982-08-05,469.4
1982-08-06,468.3
1982-08-09,464.9
1982-08-10,467.2
1982-08-11,467.0
1982-08-12,464.3
1982-08-13,459.3
1982-08-16,461.1
1982-08-17,460.8
1982-08-18,466.7
1982-08-19,465.2
1982-08-20,464.2
1982-08-23,467.8
1982-08-24,473.3
1982-08-25,472.8
1982-08-26,475.7
1982-08-27,483.3
1982-08-30,481.8
1982-08-31,482.7
1982-09-01,482.6
1982-09-02,480.8
1982-09-03,487.5
1982-09-06,494.5
1982-09-07,496.6
1982-09-08,492.7
1982-09-09,490.6
1982-09-10,492.5
1982-09-13,491.1
1982-09-14,493.4
1982-09-15,494.7
1982-09-16,496.7
1982-09-17,505.5
1982-09-20,510.9
1982-09-21,511.7
1982-09-22,520.4
1982-09-23,523.2
1982-09-24,521.0
1982-09-27,514.6
1982-09-28,511.7
1982-09-29,510.1
1982-09-30,503.3
1982-10-01,500.4
1982-10-04,499.9
1982-10-05,496.7
1982-10-06,500.2
1982-10-07,508.7
1982-10-08,518.4
1982-10-11,523.6
1982-10-12,524.4
1982-10-13,523.1
1982-10-14,522.6
1982-10-15,521.1
1982-10-18,517.8
1982-10-19,524.3
1982-10-20,525.6
1982-10-21,524.6
1982-10-22,519.1
1982-10-25,509.1
1982-10-26,500.4
1982-10-27,506.8
1982-10-28,508.6
1982-10-29,504.6
1982-11-01,504.1
1982-11-02,506.3
1982-11-03,511.6
1982-11-04,521.7
1982-11-05,523.6
1982-11-08,518.9
1982-11-09,515.0
1982-11-10,518.8
1982-11-11,515.0
1982-11-12,513.0
1982-11-15,506.7
1982-11-16,502.0
1982-11-17,499.1
1982-11-18,503.1
1982-11-19,503.0
1982-11-22,501.1
1982-11-23,496.5
1982-11-24,491.9
1982-11-25,487.5
1982-11-26,485.1
1982-11-29,487.8
1982-11-30,484.4
1982-12-01,485.9
1982-12-02,486.2
1982-12-03,490.0
1982-12-06,489.2
1982-12-07,487.5
1982-12-08,483.7
1982-12-09,477.5
1982-12-10,475.3
1982-12-13,473.5
1982-12-14,479.5
1982-12-15,477.3
1982-12-16,473.7
1982-12-17,473.2
1982-12-20,470.6
1982-12-21,467.8
1982-12-22,472.6
1982-12-23,476.9
1982-12-24,479.8
1982-12-29,485.5
1982-12-30,485.5
1982-12-31,485.4
1983-01-04,487.9
1983-01-05,496.2
1983-01-06,505.9
1983-01-07,515.7
1983-01-10,526.9
1983-01-11,530.9
1983-01-12,531.1
1983-01-13,530.9
1983-01-14,529.8
1983-01-17,533.1
1983-01-18,540.4
1983-01-19,538.4
1983-01-20,536.2
1983-01-21,540.6
1983-01-24,537.7
1983-01-25,528.5
1983-01-26,537.1
1983-01-27,536.4
1983-01-28,536.9
1983-02-01,543.6
1983-02-02,545.1
1983-02-03,528.1
1983-02-04,513.5
1983-02-07,503.2
1983-02-08,504.1
1983-02-09,503.3
1983-02-10,501.4
1983-02-11,508.1
1983-02-14,514.6
1983-02-15,514.0
1983-02-16,515.2
1983-02-17,518.7
1983-02-18,517.2
1983-02-21,504.7
1983-02-22,504.2
1983-02-23,495.4
1983-02-24,495.7
1983-02-25,506.5
1983-02-28,498.7
1983-03-01,490.8
1983-03-02,500.2
1983-03-03,508.2
1983-03-04,512.5
1983-03-07,513.4
1983-03-08,526.9
1983-03-09,516.7
1983-03-10,511.3
1983-03-11,515.3
1983-03-14,513.4
1983-03-15,513.4
1983-03-16,514.0
1983-03-17,510.4
1983-03-18,505.4
1983-03-21,502.8
1983-03-22,506.8
1983-03-23,510.3
1983-03-24,508.2
1983-03-25,507.6
1983-03-28,506.1
1983-03-29,506.9
1983-03-30,510.1
1983-03-31,512.7
1983-04-05,515.7
1983-04-06,523.8
1983-04-07,527.5
1983-04-08,529.9
1983-04-11,537.4
1983-04-12,553.8
1983-04-13,561.5
1983-04-14,565.0
1983-04-15,566.2
1983-04-18,574.1
1983-04-19,587.0
1983-04-20,581.2
1983-04-21,590.4
1983-04-22,597.3
1983-04-26,603.1
1983-04-27,598.8
1983-04-28,587.4
1983-04-29,591.9
1983-05-02,595.8
1983-05-03,594.2
1983-05-04,592.6
1983-05-05,589.1
1983-05-06,588.4
1983-05-09,595.9
1983-05-10,607.8
1983-05-11,618.6
1983-05-12,619.2
1983-05-13,614.3
1983-05-16,604.1
1983-05-17,602.5
1983-05-18,608.5
1983-05-19,607.5
1983-05-20,608.0
1983-05-23,599.6
1983-05-24,605.0
1983-05-25,614.6
1983-05-26,620.0
1983-05-27,616.0
1983-05-30,615.1
1983-05-31,620.0
1983-06-01,614.3
1983-06-02,610.2
1983-06-03,613.8
1983-06-06,614.8
1983-06-07,603.5
1983-06-08,593.3
1983-06-09,599.1
1983-06-10,598.9
1983-06-14,604.9
1983-06-15,600.7
1983-06-16,594.5
1983-06-17,599.1
1983-06-20,593.7
1983-06-21,595.6
1983-06-22,600.5
1983-06-23,606.2
1983-06-24,606.4
1983-06-27,610.5
1983-06-28,604.2
1983-06-29,603.9
1983-06-30,605.1
1983-07-01,605.4
1983-07-04,607.9
1983-07-05,606.7
1983-07-06,603.3
1983-07-07,611.4
1983-07-08,614.8
1983-07-11,615.7
1983-07-12,620.2
1983-07-13,621.8
1983-07-14,623.3
1983-07-15,633.1
1983-07-18,637.8
1983-07-19,644.0
1983-07-20,655.2
1983-07-21,672.1
1983-07-22,668.6
1983-07-25,672.4
1983-07-26,678.4
1983-07-27,678.5
1983-07-28,675.8
1983-07-29,672.0
1983-08-01,666.3
1983-08-02,666.3
1983-08-03,675.8
1983-08-04,686.2
1983-08-05,680.7
1983-08-08,672.7
1983-08-09,662.9
1983-08-10,666.4
1983-08-11,663.2
1983-08-12,661.6
1983-08-15,673.4
1983-08-16,680.8
1983-08-17,679.2
1983-08-18,685.3
1983-08-19,684.7
1983-08-22,690.7
1983-08-23,694.4
1983-08-24,708.4
1983-08-25,697.4
1983-08-26,696.6
1983-08-29,697.8
1983-08-30,697.4
1983-08-31,701.3
1983-09-01,706.7
1983-09-02,714.4
1983-09-05,723.1
1983-09-06,725.5
1983-09-07,725.1
1983-09-08,726.9
1983-09-09,730.4
1983-09-12,736.7
1983-09-13,731.0
1983-09-14,725.8
1983-09-15,724.4
1983-09-16,716.4
1983-09-19,717.1
1983-09-20,715.7
1983-09-21,714.9
1983-09-22,706.5
1983-09-23,708.0
1983-09-26,720.1
1983-09-27,718.7
1983-09-28,716.4
1983-09-29,721.9
1983-09-30,718.0
1983-10-03,711.5
1983-10-04,697.4
1983-10-05,702.0
1983-10-06,702.8
1983-10-07,709.5
1983-10-10,707.6
1983-10-11,704.8
1983-10-12,695.3
1983-10-13,695.4
1983-10-14,692.6
1983-10-17,687.7
1983-10-18,682.0
1983-10-19,679.7
1983-10-20,684.0
1983-10-21,688.5
1983-10-24,682.7
1983-10-25,677.0
1983-10-26,677.4
1983-10-27,677.2
1983-10-28,682.7
1983-10-31,687.7
1983-11-01,688.1
1983-11-02,685.4
1983-11-03,687.5
1983-11-04,688.9
1983-11-07,693.3
1983-11-08,700.3
1983-11-09,705.8
1983-11-10,709.0
1983-11-11,712.5
1983-11-14,710.6
1983-11-15,708.2
1983-11-16,710.7
1983-11-17,710.2
1983-11-18,714.9
1983-11-21,718.1
1983-11-22,717.3
1983-11-23,722.0
1983-11-24,733.5
1983-11-25,738.4
1983-11-28,743.6
1983-11-29,745.4
1983-11-30,744.0
1983-12-01,743.5
1983-12-02,737.0
1983-12-05,737.7
1983-12-06,733.5
1983-12-07,735.0
1983-12-08,737.0
1983-12-09,735.8
1983-12-12,743.8
1983-12-13,751.3
1983-12-14,754.6
1983-12-15,755.4
1983-12-16,756.1
1983-12-19,755.7
1983-12-20,757.9
1983-12-21,758.1
1983-12-22,761.5
1983-12-23,762.9
1983-12-28,765.6
1983-12-29,770.2
1983-12-30,775.3
1984-01-03,782.7
1984-01-04,780.3
1984-01-05,783.5
1984-01-06,786.4
1984-01-09,787.9
1984-01-10,776.2
1984-01-11,776.3
1984-01-12,776.2
1984-01-13,775.1
1984-01-16,769.9
